iter	Passed	Remaining
0	0	31
1	0	31
2	1	32
3	1	28
4	1	29
5	1	28
6	2	28
7	2	28
8	2	27
9	3	27
10	3	26
11	3	26
12	4	27
13	4	27
14	4	26
15	5	26
16	5	26
17	5	25
18	5	24
19	6	24
20	6	24
21	6	23
22	6	23
23	7	22
24	7	22
25	7	22
26	8	21
27	8	21
28	8	20
29	8	20
30	9	20
31	9	19
32	9	19
33	10	19
34	10	19
35	10	18
36	10	18
37	11	18
38	11	18
39	12	18
40	12	17
41	12	17
42	12	16
43	13	16
44	13	16
45	13	15
46	13	15
47	14	15
48	14	14
49	14	14
50	14	14
51	15	14
52	15	13
53	15	13
54	15	13
55	16	12
56	16	12
57	16	12
58	17	11
59	17	11
60	17	11
61	17	10
62	18	10
63	18	10
64	18	9
65	18	9
66	19	9
67	19	9
68	19	8
69	20	8
70	20	8
71	20	8
72	21	7
73	21	7
74	21	7
75	21	6
76	22	6
77	22	6
78	22	6
79	23	5
80	23	5
81	23	5
82	23	4
83	24	4
84	24	4
85	24	4
86	25	3
87	25	3
88	25	3
89	26	2
90	26	2
91	26	2
92	26	2
93	27	1
94	27	1
95	27	1
96	27	0
97	28	0
98	28	0
99	28	0
