iter	Passed	Remaining
0	4	4356
1	4	2437
2	5	1785
3	6	1701
4	7	1415
5	7	1231
6	7	1099
7	8	999
8	8	923
9	8	857
10	8	802
11	9	761
12	9	725
13	9	698
14	10	672
15	10	646
16	10	626
17	11	608
18	11	590
19	11	571
20	11	555
21	12	541
22	12	529
23	12	517
24	13	507
25	13	497
26	13	486
27	13	479
28	14	471
29	14	463
30	14	456
31	14	449
32	15	443
33	15	438
34	15	434
35	16	430
36	16	426
37	16	422
38	16	418
39	17	413
40	17	410
41	17	406
42	18	403
43	18	402
44	18	398
45	19	395
46	19	391
47	19	387
48	19	384
49	20	385
50	20	383
51	20	380
52	21	378
53	21	375
54	21	374
55	22	372
56	22	369
57	22	367
58	22	365
59	23	363
60	23	361
61	23	358
62	24	357
63	24	355
64	24	353
65	24	351
66	25	349
67	25	352
68	26	353
69	26	352
70	26	351
71	27	349
72	27	347
73	27	345
74	27	345
75	28	343
76	28	342
77	28	340
78	29	339
79	29	337
80	29	336
81	29	335
82	30	331
83	30	330
84	30	328
85	30	328
86	31	326
87	31	325
88	31	324
89	32	323
90	32	322
91	32	321
92	32	320
93	33	319
94	33	318
95	33	318
96	34	317
97	34	316
98	34	315
99	34	314
100	35	313
101	35	312
102	35	311
103	36	311
104	36	310
105	36	309
106	36	308
107	37	307
108	37	307
109	37	306
110	38	306
111	38	307
112	39	306
113	39	306
114	39	305
115	39	304
116	40	303
117	40	303
118	41	304
119	41	303
120	41	303
121	41	302
122	42	301
123	42	301
124	42	300
125	43	299
126	43	298
127	43	297
128	45	305
129	45	306
130	45	305
131	46	304
132	46	303
133	46	302
134	47	301
135	47	300
136	47	299
137	47	298
138	48	297
139	48	296
140	48	296
141	48	294
142	49	293
143	49	293
144	49	292
145	49	292
146	50	291
147	50	291
148	50	290
149	51	289
150	51	289
151	51	288
152	52	287
153	52	287
154	52	286
155	52	286
156	53	285
157	53	284
158	53	284
159	54	283
160	54	282
161	54	281
162	54	281
163	55	280
164	55	279
165	55	279
166	55	278
167	56	277
168	56	277
169	56	277
170	57	276
171	57	276
172	57	275
173	57	275
174	58	274
175	58	273
176	58	273
177	58	272
178	59	271
179	59	271
180	59	270
181	60	269
182	60	269
183	60	269
184	60	268
185	61	267
186	61	267
187	61	266
188	62	266
189	62	265
190	62	265
191	62	264
192	63	264
193	63	263
194	63	263
195	64	262
196	64	262
197	64	262
198	65	261
199	65	261
200	65	260
201	65	260
202	66	259
203	66	259
204	66	258
205	67	258
206	67	257
207	67	257
208	67	257
209	68	256
210	68	255
211	68	255
212	68	254
213	69	254
214	69	254
215	69	253
216	70	252
217	70	252
218	70	251
219	70	251
220	71	251
221	71	250
222	71	250
